expected_index,actual_index,side,expected_timestamp_utc,actual_timestamp_utc,expected_exit_timestamp_utc,actual_exit_timestamp_utc,expected_entry_price,actual_entry_price,expected_exit_price,actual_exit_price,expected_pnl_pips,actual_pnl_pips,expected_exit_reason,actual_exit_reason,exit_reason_match,expected_stop_loss_price,actual_stop_loss_price,expected_take_profit_price,actual_take_profit_price,expected_same_bar_collision,actual_same_bar_collision,same_bar_collision_match,expected_collision_resolution,entry_price_delta_pips,exit_price_delta_pips,fill_delta_pips,close_timing_delta_seconds,breach_entry_price,breach_exit_price,breach_fill_delta,breach_close_timing,breach_exit_reason,breach_same_bar_collision,breach_any,likely_cause
129,122,short,2026-01-28T15:58:00Z,2026-01-28T15:58:00Z,2026-01-28T16:07:00Z,2026-01-28T16:07:40Z,1.19617,1.19617,1.19417,1.19417,20.0,20.0,take_profit,take_profit,True,1.19717,1.19717,1.19417,1.19417,False,False,True,,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
131,125,long,2026-01-29T15:00:00Z,2026-01-29T15:00:00Z,2026-01-29T16:13:00Z,2026-01-29T16:13:40Z,1.19566,1.19567,1.19466,1.19467,-10.0,-10.0,stop_loss,stop_loss,True,1.19466,1.19467,1.19766,1.19767,False,False,True,,0.1,0.1,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
132,126,long,2026-01-30T13:04:00Z,2026-01-30T13:04:00Z,2026-01-30T13:32:00Z,2026-01-30T13:26:20Z,1.19512,1.19514,1.19412,1.19414,-10.0,-10.0,stop_loss,stop_loss,True,1.19412,1.19414,1.19712,1.19714,False,False,True,,0.2,0.2,0.0,340.0,False,False,False,True,False,False,True,timeout_or_bar_close_drift
133,127,short,2026-01-30T13:50:00Z,2026-01-30T13:50:00Z,2026-01-30T14:51:00Z,2026-01-30T14:51:20Z,1.19233,1.19233,1.19033,1.19033,20.0,20.0,take_profit,take_profit,True,1.19333,1.19333,1.19033,1.19033,False,False,True,,0.0,0.0,0.0,20.0,False,False,False,False,False,False,False,within_tolerance
134,128,short,2026-01-30T14:53:00Z,2026-01-30T14:53:00Z,2026-01-30T15:03:00Z,2026-01-30T15:03:40Z,1.19081,1.19081,1.19181,1.19181,-10.0,-10.0,stop_loss,stop_loss,True,1.19181,1.19181,1.18881,1.18881,False,False,True,,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
135,129,long,2026-01-30T15:06:00Z,2026-01-30T15:06:00Z,2026-01-30T15:23:00Z,2026-01-30T15:23:40Z,1.19175,1.19176,1.19075,1.19076,-10.0,-10.0,stop_loss,stop_loss,True,1.19075,1.19076,1.19375,1.19376,False,False,True,,0.1,0.1,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
136,130,short,2026-01-30T15:26:00Z,2026-01-30T15:26:00Z,2026-01-30T16:04:00Z,2026-01-30T16:04:20Z,1.19101,1.19101,1.18901,1.18901,20.0,20.0,take_profit,take_profit,True,1.19201,1.19201,1.18901,1.18901,False,False,True,,0.0,0.0,0.0,20.0,False,False,False,False,False,False,False,within_tolerance
140,133,short,2026-02-02T15:24:00Z,2026-02-02T15:24:00Z,2026-02-02T15:32:00Z,2026-02-02T15:32:40Z,1.18073,1.18073,1.18173,1.18173,-10.0,-10.0,stop_loss,stop_loss,True,1.18173,1.18173,1.17873,1.17873,False,False,True,,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
141,134,long,2026-02-02T15:40:00Z,2026-02-02T15:40:00Z,2026-02-02T16:00:00Z,2026-02-02T16:00:40Z,1.18228,1.18229,1.18128,1.18129,-10.0,-10.0,stop_loss,stop_loss,True,1.18128,1.18129,1.18428,1.18429,False,False,True,,0.1,0.1,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
142,135,long,2026-02-03T14:49:00Z,2026-02-03T14:49:00Z,2026-02-03T15:04:00Z,2026-02-03T15:04:40Z,1.17985,1.17986,1.17885,1.17886,-10.0,-10.0,stop_loss,stop_loss,True,1.17885,1.17886,1.18185,1.18186,False,False,True,,0.1,0.1,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
